id,stage_name,full_name,korean_name,k_stage_name,date_of_birth,group,debut,company,country,second_country,height,weight,birthplace,other_group,former_group,gender,birth_year,debut_year,debut_age
868,Jinsung,Jung Jinsung,정진성,진성,2002-03-30,1the9,2019-02-09,MBK,South Korea,N/A,176.0,58.0,Seoul,N/A,N/A,M,2002.0,2019.0,17.0
869,Seunghwan,Lee Seunghwan,이승환,승환,2000-05-20,1the9,2019-02-09,MBK,South Korea,N/A,178.0,64.0,N/A,N/A,N/A,M,2000.0,2019.0,19.0
870,Taekhyeon,Jung Taekhyeon,정택현,택현,2003-07-28,1the9,2019-02-09,MBK,South Korea,N/A,178.0,66.0,Gunpo,N/A,N/A,M,2003.0,2019.0,16.0
871,Chaeyeon,Jung Chaeyeon,정채연,채연,1997-12-01,DIA,2015-07-14,MBK,South Korea,N/A,165.0,49.0,Suncheon,N/A,I.O.I,F,1997.0,2015.0,18.0
872,Eunchae,Kwon Chaewon,권채원,은채,1999-05-26,DIA,2015-07-14,MBK,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1999.0,2015.0,16.0
873,Eunice,Heo Sooyeon,허수연,유니스,1991-09-02,DIA,2015-07-14,MBK,South Korea,N/A,166.0,49.0,Busan,N/A,N/A,F,1991.0,2015.0,24.0
874,Huihyeon,Ki Huihyeon,기희현,희현,1995-06-16,DIA,2015-07-14,MBK,South Korea,N/A,167.0,46.0,Namwon,N/A,N/A,F,1995.0,2015.0,20.0
875,Jueun,Lee Jooeun,이주은,주은,1995-07-07,DIA,2015-07-14,MBK,South Korea,N/A,N/A,N/A,Suwon,BinChaenHyunSeuS,N/A,F,1995.0,2015.0,20.0
876,Somyi,Ahn Somyi,안솜이,솜이,2000-01-26,DIA,2015-07-14,MBK,South Korea,N/A,N/A,N/A,Changwon,L.U.B,N/A,F,2000.0,2015.0,15.0
877,Yebin,Baek Yebin,백예빈,예빈,1997-07-13,DIA,2015-07-14,MBK,South Korea,N/A,164.0,43.0,Chuncheon,UNI.T,N/A,F,1997.0,2015.0,18.0
878,Eunjung,Ham Eunjung,함은정,은정,1988-12-12,T-ara,2009-07-29,MBK,South Korea,N/A,167.0,47.0,Seoul,N/A,N/A,F,1988.0,2009.0,21.0
879,Hyomin,Park Sunyoung,박선영,효민,1989-05-30,T-ara,2009-07-29,MBK,South Korea,N/A,167.0,43.0,Busan,N/A,N/A,F,1989.0,2009.0,20.0
880,Jiyeon,Park Jiyeon,박지연,지연,1993-06-07,T-ara,2009-07-29,MBK,South Korea,N/A,167.0,45.0,Seoul,N/A,N/A,F,1993.0,2009.0,16.0
881,Qri,Lee Jihyun,이지현,큐리,1986-12-12,T-ara,2009-07-29,MBK,South Korea,N/A,162.0,44.0,Goyang,N/A,N/A,F,1986.0,2009.0,23.0
882,Max Changmin,Shim Changmin,심창민,최강창민,1988-02-18,TVXQ,2003-12-26,MBK| Turbo Co.,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,M,1988.0,2003.0,15.0
883,U-Know Yunho,Jung Yunho,정윤호,유노윤호,1986-02-06,TVXQ,2003-12-26,MBK| Turbo Co.,South Korea,N/A,N/A,N/A,Gwangju,N/A,N/A,M,1986.0,2003.0,17.0
884,Bessie,Kim Susanna,김수산나,베시,2004-07-15,Lapillus,2022-06-22,MLD,South Korea,N/A,N/A,N/A,Changwon,N/A,N/A,F,2004.0,2022.0,18.0
885,Chanty,Maria Chantal Videla,마리아 샹탈 비델라,샨티,2002-12-15,Lapillus,2022-06-22,MLD,Philippines,Argentina,170.0,N/A,Manila,N/A,N/A,F,2002.0,2022.0,20.0
886,Haeun,Lim Haeun,임하은,하은,2008-11-02,Lapillus,2022-06-22,MLD,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2008.0,2022.0,14.0
887,Seowon,Jang Seowon,장서원,서원,2006-12-05,Lapillus,2022-06-22,MLD,South Korea,N/A,N/A,N/A,Gwangju,N/A,N/A,F,2006.0,2022.0,16.0
888,Shana,Nonaka Shana,노나카 샤나,샤나,2003-03-13,Lapillus,2022-06-22,MLD,Japan,N/A,158.0,N/A,Kochi,N/A,N/A,F,2003.0,2022.0,19.0
889,Yue,Nancy Yang,낸시 양,유에,2004-07-03,Lapillus,2022-06-22,MLD,USA,China,163.0,48.0,N/A,N/A,N/A,F,2004.0,2022.0,18.0
890,Haemin,Jung Haemin,정해민,해민,2004-03-16,8TURN,2023-01-30,MNH,South Korea,N/A,183.0,63.0,Cheonan,N/A,N/A,M,2004.0,2023.0,19.0
891,Jaeyun,Moon Jaeyun,문재윤,재윤,2002-07-02,8TURN,2023-01-30,MNH,New Zealand,South Korea,178.0,64.0,N/A,N/A,N/A,M,2002.0,2023.0,21.0
892,Kyungmin,Jo Kyungmin,조경민,경민,2004-10-28,8TURN,2023-01-30,MNH,South Korea,N/A,187.0,60.0,Gyeonggi,N/A,N/A,M,2004.0,2023.0,19.0
893,Minho,Yang Minho,양민호,민호,2002-10-14,8TURN,2023-01-30,MNH,South Korea,N/A,179.0,59.0,N/A,N/A,N/A,M,2002.0,2023.0,21.0
894,Myungho,Ji Myungho,지명호,명호,2001-10-12,8TURN,2023-01-30,MNH,South Korea,N/A,177.0,62.0,N/A,N/A,N/A,M,2001.0,2023.0,22.0
895,Seungheon,Lee Seungheon,이승헌,승헌,2007-05-15,8TURN,2023-01-30,MNH,South Korea,N/A,171.0,51.0,N/A,N/A,N/A,M,2007.0,2023.0,16.0
896,Yoonsung,Cho Yoonsung,조윤성,윤성,2003-11-13,8TURN,2023-01-30,MNH,South Korea,N/A,177.0,62.0,Seoul,N/A,N/A,M,2003.0,2023.0,20.0
897,Yungyu,Lee Yungyu,이윤규,윤규,2005-11-07,8TURN,2023-01-30,MNH,South Korea,N/A,175.0,62.0,N/A,N/A,N/A,M,2005.0,2023.0,18.0
898,Jungwoo,Uhm Jungwoo,엄정우,정우,1999-04-02,BVNDIT,2019-04-10,MNH,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1999.0,2019.0,20.0
899,Seungeun,Shim Seungeun,심승은,승은,2000-12-27,BVNDIT,2019-04-10,MNH,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2019.0,19.0
900,Simyeong,Lee Simyeong,이시명,시명,1999-05-27,BVNDIT,2019-04-10,MNH,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1999.0,2019.0,20.0
901,Songhee,Yoon Songhee,윤송희,송희,1998-11-08,BVNDIT,2019-04-10,MNH,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1998.0,2019.0,21.0
902,Yiyeon,Jung Dasol,정다솔,이연,1995-05-28,BVNDIT,2019-04-10,MNH,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1995.0,2019.0,24.0
903,Chaeyeon,Kim Chaeyeon,김채연,채연,2004-12-04,tripleS,2023-02-13,MODHAUS,South Korea,N/A,N/A,N/A,N/A,N/A,Busters,F,2004.0,2023.0,19.0
904,Dahyun,Seo Dahyun,서다현,다현,2003-01-08,tripleS,2023-02-13,MODHAUS,South Korea,N/A,160.0,N/A,Busan,N/A,N/A,F,2003.0,2023.0,20.0
905,Hyerin,Jeong Hyerin,정혜린,혜린,2007-04-12,tripleS,2023-02-13,MODHAUS,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2007.0,2023.0,16.0
906,Jiwoo,Lee Jiwoo,이지우,지우,2005-10-24,tripleS,2023-02-13,MODHAUS,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2005.0,2023.0,18.0
907,Kaede,Yamada Kaede,야마다 카에데,카에데,2005-12-20,tripleS,2023-02-13,MODHAUS,Japan,N/A,160.0,N/A,Toyama,N/A,N/A,F,2005.0,2023.0,18.0
908,Kotone,Kamimoto Kotone,카미모토 코토네,코토네,2004-03-10,tripleS,2023-02-13,MODHAUS,Japan,N/A,162.0,N/A,Tokyo,N/A,N/A,F,2004.0,2023.0,19.0
909,Nakyung,Kim Nakyung,김나경,나경,2002-10-13,tripleS,2023-02-13,MODHAUS,South Korea,N/A,166.0,N/A,Ulsan,N/A,N/A,F,2002.0,2023.0,21.0
910,Seoyeon,Yoon Seoyeon,윤서연,서연,2003-08-06,tripleS,2023-02-13,MODHAUS,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2003.0,2023.0,20.0
911,Soomin,Kim Soomin,김수민,수민,2007-10-03,tripleS,2023-02-13,MODHAUS,South Korea,N/A,158.0,N/A,Daegu,N/A,N/A,F,2007.0,2023.0,16.0
912,Yeonji,Kwak Yeonji,곽연지,연지,2008-01-08,tripleS,2023-02-13,MODHAUS,South Korea,N/A,162.0,N/A,Gwangju,N/A,N/A,F,2008.0,2023.0,15.0
913,Yooyeon,Kim Yooyeon,김유연,유연,2001-02-09,tripleS,2023-02-13,MODHAUS,South Korea,N/A,164.0,46.0,Seoul,N/A,N/A,F,2001.0,2023.0,22.0
914,Yubin,Gong Yubin,공유빈,유빈,2005-02-03,tripleS,2023-02-13,MODHAUS,South Korea,N/A,163.0,N/A,Yongin,N/A,N/A,F,2005.0,2023.0,18.0
915,Gon,Kim Seongjung,김성중,곤,1998-11-13,ARGON,2019-03-11,MSH,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1998.0,2019.0,21.0
916,Haneul,Lee Haneul,이하늘,하늘,1996-06-03,ARGON,2019-03-11,MSH,South Korea,N/A,175.0,N/A,N/A,N/A,N/A,M,1996.0,2019.0,23.0
917,Jaeun,Ha Jaeun,한재운,재운,1999-09-28,ARGON,2019-03-11,MSH,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2019.0,20.0
918,Kain,Bang Junho,방준호,카인,1997-03-25,ARGON,2019-03-11,MSH,South Korea,N/A,178.0,N/A,N/A,N/A,N/A,M,1997.0,2019.0,22.0
919,Roel,Kim Sunho,김선호,로엘,1997-02-13,ARGON,2019-03-11,MSH,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1997.0,2019.0,22.0
920,Yeoun,Lee Kyeongbin,이경빈,여운,1997-09-03,ARGON,2019-03-11,MSH,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1997.0,2019.0,22.0
921,Haram,Kim Haram,김하람,하람,2001-01-13,Billlie,2021-11-10,MYSTIC,South Korea,N/A,161.0,45.0,N/A,N/A,N/A,F,2001.0,2021.0,20.0
922,Haruna,Osato Haruna,오사토 하루나,하루나,2006-01-30,Billlie,2021-11-10,MYSTIC,Japan,N/A,N/A,N/A,N/A,N/A,N/A,F,2006.0,2021.0,15.0
923,Moon Sua,Moon Sua,문수아,문수아,1999-09-09,Billlie,2021-11-10,MYSTIC,South Korea,N/A,167.0,47.0,Cheongju,N/A,N/A,F,1999.0,2021.0,22.0
924,Sheon,Kim Suyeon,김수연,션,2003-01-28,Billlie,2021-11-10,MYSTIC,South Korea,N/A,162.0,N/A,N/A,N/A,N/A,F,2003.0,2021.0,18.0
925,Siyoon,Kim Siyoon,김시윤,시윤,2005-02-16,Billlie,2021-11-10,MYSTIC,South Korea,N/A,168.0,N/A,N/A,N/A,N/A,F,2005.0,2021.0,16.0
926,Suhyeon,Kim Suhyun,김수현,수현,2000-01-15,Billlie,2021-11-10,MYSTIC,South Korea,N/A,161.0,45.0,Daegu,N/A,N/A,F,2000.0,2021.0,21.0
927,Tsuki,Fukutomi Tsuki,후쿠토미 츠키,츠키,2002-09-21,Billlie,2021-11-10,MYSTIC,Japan,N/A,N/A,N/A,N/A,N/A,N/A,F,2002.0,2021.0,19.0
928,Juntae,Kim Juntae,김준태,준태,1995-09-04,MY.st,2020-03-26,MYStar,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1995.0,2020.0,25.0
929,Keonwoo,Kim Keonwoo,김건우,건우,1996-12-17,MY.st,2020-03-26,MYStar,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1996.0,2020.0,24.0
930,Minho,Lee Minho,이민호,민호,1995-09-04,MY.st,2020-03-26,MYStar,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1995.0,2020.0,25.0
931,Woncheol,Jung Woncheol,정원철,원철,1996-01-12,MY.st,2020-03-26,MYStar,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1996.0,2020.0,24.0
932,Woojin,Lee Woojin,이우진,우진,1996-11-22,MY.st,2020-03-26,MYStar,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1996.0,2020.0,24.0
933,Jiae,Kim Jiae,김지애,지애,1995-10-31,Wassup,2013-08-07,Mafia,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1995.0,2013.0,18.0
934,Nari,Kim Nari,김나리,나리,1992-10-05,Wassup,2013-08-07,Mafia,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1992.0,2013.0,21.0
935,Sujin,Bang Sujin,방수진,수진,1996-06-26,Wassup,2013-08-07,Mafia,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1996.0,2013.0,17.0
936,Woojoo,Kim Woojoo,김우주,우주,1996-08-12,Wassup,2013-08-07,Mafia,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1996.0,2013.0,17.0
937,Layeon,Lee Jimin,이지민,라연,1998-08-13,Purplebeck,2019-06-24,Majesty,South Korea,N/A,170.0,51.0,N/A,N/A,N/A,F,1998.0,2019.0,21.0
938,Mini,N/A,N/A,민이,2000-06-12,Purplebeck,2019-06-24,Majesty,South Korea,N/A,168.0,47.0,N/A,N/A,N/A,F,2000.0,2019.0,19.0
939,Seyeon,Park Seyeon,박세연,세연,2001-05-06,Purplebeck,2019-06-24,Majesty,South Korea,N/A,167.0,46.0,N/A,N/A,N/A,F,2001.0,2019.0,18.0
940,Yeowool,Ha Yeowool,하여울,여울,1998-04-11,Purplebeck,2019-06-24,Majesty,South Korea,N/A,163.0,46.0,N/A,N/A,N/A,F,1998.0,2019.0,21.0
941,Yerim,Jeong Yerim,정예림,예림,1997-03-10,Purplebeck,2019-06-24,Majesty,South Korea,N/A,165.0,44.0,N/A,N/A,N/A,F,1997.0,2019.0,22.0
942,Ayamy,Suzuki Ayami,스즈키 아야미,아야미,2000-07-15,Bling Bling,2020-11-17,Major9,Japan,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2020.0,20.0
943,Jieun,Choi Jieun,최지은,지은,2001-03-03,Bling Bling,2020-11-17,Major9,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2001.0,2020.0,19.0
944,Juhyun,Cha Juhyun,차주현,주현,2000-04-01,Bling Bling,2020-11-17,Major9,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2020.0,20.0
945,Marin,Yasufuku Marin,야스후쿠 마린,마린,2001-03-17,Bling Bling,2020-11-17,Major9,Japan,N/A,N/A,N/A,Osaka,N/A,N/A,F,2001.0,2020.0,19.0
946,Narin,Lee Narin,이나린,나린,2001-10-29,Bling Bling,2020-11-17,Major9,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2001.0,2020.0,19.0
947,Yubin,Kim Yubin,김유빈,유빈,2002-02-27,Bling Bling,2020-11-17,Major9,South Korea,N/A,166.0,47.0,N/A,N/A,N/A,F,2002.0,2020.0,18.0
948,Chaehyun,Kim Chaehyun,김채현,채현,1999-11-29,Bonus Baby,2017-01-01,Maroo,South Korea,N/A,163.0,N/A,N/A,N/A,N/A,F,1999.0,2017.0,18.0
949,Dayun,Kim Dayun,김다윤,다윤,2000-11-20,Bonus Baby,2017-01-01,Maroo,South Korea,N/A,164.0,N/A,N/A,N/A,N/A,F,2000.0,2017.0,17.0
950,Gaon,Beom Gaon,범가온,가온,2001-03-09,Bonus Baby,2017-01-01,Maroo,South Korea,N/A,163.0,N/A,N/A,N/A,N/A,F,2001.0,2017.0,16.0
951,Hayoon,Jung Hayoon,정하윤,하윤,1998-11-21,Bonus Baby,2017-01-01,Maroo,South Korea,N/A,163.0,N/A,N/A,N/A,MyB,F,1998.0,2017.0,19.0
952,Kongyoo,Kong Yoojin,공유진,공유,2001-05-11,Bonus Baby,2017-01-01,Maroo,South Korea,N/A,163.0,N/A,N/A,N/A,N/A,F,2001.0,2017.0,16.0
953,Moonhee,Choi Moonhee,최문희,문희,1997-04-15,Bonus Baby,2017-01-01,Maroo,South Korea,N/A,167.0,N/A,N/A,N/A,MyB,F,1997.0,2017.0,20.0
954,Jinwoo,Lee Jinwoo,이진우,진우,2004-09-13,Ghost9,2020-09-23,Maroo,South Korea,N/A,176.0,57.0,N/A,TEEN TEEN,N/A,M,2004.0,2020.0,16.0
955,Junhyung,Son Junhyung,손준형,준형,2000-10-21,Ghost9,2020-09-23,Maroo,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2020.0,20.0
956,Junseong,Choi Junseong,최준성,준성,2002-09-29,Ghost9,2020-09-23,Maroo,South Korea,N/A,170.0,55.0,N/A,N/A,N/A,M,2002.0,2020.0,18.0
957,Kangsung,Lee Kangsung,이강성,강성,2002-08-08,Ghost9,2020-09-23,Maroo,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2002.0,2020.0,18.0
958,Prince,Pasidh Vataniyapromote,파싯 와타니야쁘라못,프린스,2003-01-10,Ghost9,2020-09-23,Maroo,Thailand,N/A,N/A,N/A,N/A,N/A,N/A,M,2003.0,2020.0,17.0
959,Shin,Kim Suhyun,김수현,신,2000-03-18,Ghost9,2020-09-23,Maroo,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2020.0,20.0
960,Woojin,Lee Woojin,이우진,우진,2003-04-07,Ghost9,2020-09-23,Maroo,South Korea,N/A,178.0,65.0,N/A,TEEN TEEN,N/A,M,2003.0,2020.0,17.0
961,I.L,Kim Jiwon,김지원,아이엘,1997-07-01,IRRIS,2022-07-06,Mellow,South Korea,N/A,N/A,N/A,Daegu,N/A,Good Day| RedSquare,F,1997.0,2022.0,25.0
962,Liv,Kim Chaeyoung,김채영,리브,1997-07-05,IRRIS,2022-07-06,Mellow,South Korea,N/A,N/A,N/A,Gunsan,N/A,Good Day| RedSquare,F,1997.0,2022.0,25.0
963,Nina,Nina Nadia Mateer,니나 나디아 마티어,니나,2003-03-15,IRRIS,2022-07-06,Mellow,Australia,South Korea,174.0,51.0,Brisbane,N/A,N/A,F,2003.0,2022.0,19.0
964,Yunseul,Hwang Nayoon,황나윤,윤슬,1999-03-30,IRRIS,2022-07-06,Mellow,South Korea,N/A,N/A,N/A,Seoul,N/A,Good Day| RedSquare,F,1999.0,2022.0,23.0
965,Jia,Yoon Jia,윤지아,지아,2004-01-16,mimiimiii,2015-04-27,Midas,South Korea,N/A,166.0,N/A,Incheon,N/A,N/A,F,2004.0,2015.0,11.0
966,Hyunjun,Lee Hyunjun,이현준,현준,1999-12-21,IZ,2017-08-31,Music K,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2017.0,18.0
967,Jihoo,Lim Soojung,임수정,지후,1998-08-05,IZ,2017-08-31,Music K,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1998.0,2017.0,19.0
968,Junyoung,Lee Junyoung,이준영,준영,2000-09-23,IZ,2017-08-31,Music K,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2017.0,17.0
969,Woosu,Kim Minseok,김민석,우수,1999-11-23,IZ,2017-08-31,Music K,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2017.0,18.0
970,Kookheon,Kim Kookheon,김국헌,국헌,1997-04-15,B.O.Y,2020-01-20,Music Works,South Korea,N/A,N/A,N/A,N/A,N/A,MYTEEN,M,1997.0,2020.0,23.0
971,Yuvin,Song Yuvin,송유빈,유빈,1998-04-28,B.O.Y,2020-01-20,Music Works,South Korea,N/A,N/A,N/A,N/A,N/A,MYTEEN,M,1998.0,2020.0,22.0
972,Arang,Park Yerim,박예림,아랑,2001-01-22,Pink Fantasy,2018-10-28,My Doll,South Korea,N/A,167.0,49.0,N/A,N/A,N/A,F,2001.0,2018.0,17.0
973,Daewang Nim,Daewang Nim,대왕님,대왕님,1996-04-08,Pink Fantasy,2018-10-28,My Doll,South Korea,N/A,162.0,49.0,N/A,N/A,N/A,F,1996.0,2018.0,22.0
974,Harin,Park Guenhye,박근혜,하린,2000-05-26,Pink Fantasy,2018-10-28,My Doll,South Korea,N/A,164.0,48.0,N/A,N/A,N/A,F,2000.0,2018.0,18.0
975,Heesun,Park Heesun,박희선,희선,2005-01-25,Pink Fantasy,2018-10-28,My Doll,South Korea,N/A,162.0,45.0,N/A,N/A,N/A,F,2005.0,2018.0,13.0
976,Miku,Katae Miku,카타에 미쿠,미쿠,2002-10-09,Pink Fantasy,2018-10-28,My Doll,Japan,N/A,N/A,N/A,N/A,N/A,N/A,F,2002.0,2018.0,16.0
977,Momoka,Matsuda Momoka,마쓰다 모모카,모모카,2000-12-26,Pink Fantasy,2018-10-28,My Doll,Japan,N/A,152.0,N/A,N/A,N/A,N/A,F,2000.0,2018.0,18.0
978,Seea,Kang Eunyoung,강은영,시아,1994-08-21,Pink Fantasy,2018-10-28,My Doll,South Korea,N/A,160.0,43.0,N/A,N/A,N/A,F,1994.0,2018.0,24.0
979,Yechan,Kim Yechan,김예찬,예찬,1995-11-26,Pink Fantasy,2018-10-28,My Doll,South Korea,N/A,159.0,45.0,N/A,N/A,N/A,F,1995.0,2018.0,23.0
980,Gain,Son Gain,손가인,가인,1987-09-20,Brown Eyed Girls,2006-03-02,Mystic,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1987.0,2006.0,19.0
981,Jea,Kim Hyojin,김효진,제아,1981-09-18,Brown Eyed Girls,2006-03-02,Mystic,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1981.0,2006.0,25.0
982,Miryo,Jo Mihye,조미혜,미료,1981-11-02,Brown Eyed Girls,2006-03-02,Mystic,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1981.0,2006.0,25.0
983,Narsha,Park Hyojin,박효진,나르샤,1981-12-28,Brown Eyed Girls,2006-03-02,Mystic,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1981.0,2006.0,25.0
984,Haein,Yeom Haein,염해인,해인,1995-05-19,LABOUM,2014-08-27,NH,South Korea,N/A,162.0,45.0,Ojeonggu,N/A,N/A,F,1995.0,2014.0,19.0
985,Solbin,Ahn Solbin,안솔빈,솔빈,1997-08-19,LABOUM,2014-08-27,NH,South Korea,N/A,169.0,52.0,Ojeonggu,N/A,N/A,F,1997.0,2014.0,17.0
986,Soyeon,Jung Soyeon,정소연,소연,1994-05-04,LABOUM,2014-08-27,NH,South Korea,N/A,161.0,44.0,Gwangju,N/A,N/A,F,1994.0,2014.0,20.0
987,ZN,Bae Jinye,배진예,지엔,1994-06-09,LABOUM,2014-08-27,NH,South Korea,N/A,169.0,48.0,Bucheon,UNI.T,N/A,F,1994.0,2014.0,20.0
988,Eli,Ellison Kim,엘리슨 킴,일라이,1991-03-13,U-KISS,2008-08-28,NH Media,USA,South Korea,N/A,N/A,Los Angeles,N/A,N/A,M,1991.0,2008.0,17.0
989,Hoon,Yeo Hoonmin,여훈민,훈,1991-08-16,U-KISS,2008-08-28,NH Media,South Korea,N/A,N/A,N/A,Namyangju,N/A,N/A,M,1991.0,2008.0,17.0
990,Jun,Lee Junyoung,이준영,준,1997-01-22,U-KISS,2008-08-28,NH Media,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1997.0,2008.0,11.0
991,Kevin,Christopher Woo,크리스토퍼 우,케빈,1991-11-25,U-KISS,2008-08-28,NH Media,USA,South Korea,N/A,N/A,Los Angeles,N/A,N/A,M,1991.0,2008.0,17.0
992,Kiseop,Lee Kiseop,이기섭,기섭,1991-01-17,U-KISS,2008-08-28,NH Media,South Korea,N/A,N/A,N/A,Seongnam,N/A,N/A,M,1991.0,2008.0,17.0
993,Soohyun,Shin Soohyun,신수현,수현,1989-03-11,U-KISS,2008-08-28,NH Media,South Korea,N/A,N/A,N/A,Pocheon,N/A,N/A,M,1989.0,2008.0,19.0
994,Lucy,Kim Daeun,김대은,루시,2004-04-09,woo!ah!,2020-05-15,NV,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2004.0,2020.0,16.0
995,Minseo,Kim Minseo,김민서,민서,2004-08-12,woo!ah!,2020-05-15,NV,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2004.0,2020.0,16.0
996,Nana,Kwon Nayeon,권나연,나나,2001-03-09,woo!ah!,2020-05-15,NV,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2001.0,2020.0,19.0
997,Sora,Sakata Sora,사카타 소라,소라,2003-08-30,woo!ah!,2020-05-15,NV,Japan,N/A,N/A,N/A,N/A,N/A,N/A,F,2003.0,2020.0,17.0
998,Wooyeon,Park Jinkyung,박진경,우연,2003-02-11,woo!ah!,2020-05-15,NV,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2003.0,2020.0,17.0
999,Bao,Bae Sungyeob,배성엽,바오,1996-05-12,XEED,2022-12-01,Nature Space,South Korea,N/A,182.0,63.0,N/A,N/A,LUCENTE,M,1996.0,2022.0,26.0
1000,Doha,Park Doha,박도하,도하,1992-03-27,XEED,2022-12-01,Nature Space,South Korea,N/A,175.0,65.0,Seoul,N/A,N/A,M,1992.0,2022.0,30.0
1001,Jaemin,Shin Jaemin,신재민,재민,1996-06-08,XEED,2022-12-01,Nature Space,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1996.0,2022.0,26.0
1002,Gracie,Kim Gaeun,김가운,그레이시,1996-10-28,H.U.B,2017-02-09,New Planet,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1996.0,2017.0,21.0
1003,Hyosun,Lim Hyosun,임효선,효선,1998-07-10,H.U.B,2017-02-09,New Planet,South Korea,N/A,170.0,54.0,N/A,N/A,Kiwi Band,F,1998.0,2017.0,19.0
1004,Keina,Lee Yoona,이유나,케이나,1999-02-12,H.U.B,2017-02-09,New Planet,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1999.0,2017.0,18.0
1005,Rui,Watanabe Rui,와타나베 루이,루이,1994-10-08,H.U.B,2017-02-09,New Planet,Japan,N/A,N/A,N/A,N/A,N/A,N-Bulance,F,1994.0,2017.0,23.0
1006,Yuem,Park Subin,박수빈,유음,1996-12-25,H.U.B,2017-02-09,New Planet,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1996.0,2017.0,21.0
1007,Ellyn,Bang Sunhee,방선희,엘린,2002-10-19,Girlkind,2018-01-16,Nextlevel,South Korea,N/A,N/A,170.0,N/A,N/A,N/A,F,2002.0,2018.0,16.0
1008,JK,Kim Jikang,김지강,지강,1998-03-17,Girlkind,2018-01-16,Nextlevel,South Korea,N/A,N/A,161.0,N/A,N/A,N/A,F,1998.0,2018.0,20.0
1009,Medic Jin,Bae Yujin,배유진,메딕진,1996-08-25,Girlkind,2018-01-16,Nextlevel,South Korea,N/A,N/A,167.0,N/A,N/A,N/A,F,1996.0,2018.0,22.0
1010,Sun J,Jeon Heesun,전희선,썬제이,2001-02-13,Girlkind,2018-01-16,Nextlevel,South Korea,N/A,N/A,165.0,N/A,N/A,N/A,F,2001.0,2018.0,17.0
1011,Xeheun,Lee Seheun,이세흔,세흔,1999-07-11,Girlkind,2018-01-16,Nextlevel,South Korea,N/A,N/A,162.0,N/A,N/A,N/A,F,1999.0,2018.0,19.0
1012,A.M,Seong Hyunwoo,성현우,에이엠,1996-12-31,Limitless,2019-07-09,ONO,South Korea,N/A,181.0,62.0,N/A,N/A,N/A,M,1996.0,2019.0,23.0
